id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0418021,2,2016-02-27 10:52:28,1,-73.95124053955078,40.7703971862793,-73.98988342285155,40.750484466552734,N,962
id2477367,1,2016-02-17 16:01:02,1,-74.0127410888672,40.70223617553711,-73.98439788818358,40.74860382080078,N,1300
id1741108,2,2016-01-15 18:17:20,5,-73.99607849121094,40.72594833374024,-73.99732208251955,40.7364387512207,N,410
id1057988,2,2016-04-23 22:24:21,1,-73.9677734375,40.7552604675293,-73.99069213867188,40.72757339477539,N,750
id3178289,2,2016-02-26 01:56:36,6,-73.95650482177734,40.77115249633789,-73.94845581054686,40.77227783203125,N,144
id3744729,1,2016-05-31 16:49:04,2,-73.94754028320312,40.775367736816406,-73.95980834960938,40.77029800415039,N,668
id0880878,2,2016-05-19 12:53:25,1,-73.98439025878906,40.7799186706543,-73.9417724609375,40.83953857421875,N,821
id3482168,2,2016-06-14 17:49:33,1,-73.99642944335938,40.75825881958008,-73.98297882080078,40.776668548583984,N,954
id2178572,2,2016-03-11 23:17:46,4,-74.01082611083984,40.70962524414063,-73.9996566772461,40.73335266113281,N,544
id2047918,1,2016-05-08 23:04:19,1,-73.95291137695312,40.78316879272461,-73.99417877197266,40.74533462524415,N,819
id1530451,1,2016-06-12 01:56:55,1,-73.99616241455078,40.7266845703125,-73.98184967041014,40.74159622192383,N,580
id1409515,1,2016-04-19 10:11:16,2,-73.97029113769531,40.76550674438477,-73.95574188232422,40.77257919311523,N,628
id2608295,2,2016-04-02 10:40:23,1,-73.99665069580078,40.75276184082031,-74.00114440917969,40.75631332397461,N,183
id1453824,1,2016-02-06 22:27:20,1,-73.98291015625,40.75949096679688,-73.9781265258789,40.75420379638672,N,234
id0813606,2,2016-01-17 01:48:46,2,-74.00277709960938,40.73387145996094,-73.95719146728516,40.80274200439453,N,1394
id2210233,1,2016-02-22 16:08:45,3,-73.9861602783203,40.72639465332031,-74.00504302978516,40.74170684814453,N,649
id1909063,1,2016-04-30 21:18:09,3,-73.98533630371094,40.72755813598633,-73.84844207763672,40.858699798583984,N,2210
id2654336,2,2016-01-26 06:54:19,1,-73.99087524414062,40.751182556152344,-74.0098876953125,40.72087478637695,N,679
id3257772,2,2016-05-02 00:47:41,5,-73.98606872558594,40.75113296508789,-74.014892578125,40.71826553344727,N,645
id2867635,1,2016-04-15 10:13:15,1,-73.961669921875,40.779598236083984,-73.9836196899414,40.75725173950195,N,2649
id3341900,1,2016-03-10 11:47:49,1,-73.97091674804686,40.7672004699707,-73.99868774414062,40.7371940612793,N,1165
id3497921,1,2016-01-26 21:02:28,1,-73.96863555908203,40.76437759399415,-73.9523696899414,40.7848014831543,N,589
id2831752,1,2016-01-17 01:02:13,1,-73.9683837890625,40.6790771484375,-73.98197174072266,40.6770133972168,N,268
id3079228,1,2016-02-28 15:38:40,1,-73.97857666015625,40.76401138305664,-73.87078094482422,40.77405548095703,N,2077
id2795358,1,2016-05-11 06:50:16,1,-73.99459075927734,40.75061416625977,-73.97923278808595,40.759090423583984,N,402
id0664803,2,2016-02-08 18:42:34,1,-73.97570037841797,40.74895858764648,-73.99488830566406,40.73659133911133,N,823
id3463944,2,2016-02-20 09:57:33,1,-74.00255584716798,40.73958587646485,-74.00395965576173,40.74810791015625,N,281
id3156286,2,2016-02-29 22:08:19,1,-73.95394134521484,40.774681091308594,-73.9774169921875,40.7841911315918,N,666
id3776735,2,2016-04-08 11:56:08,1,-73.8744583129883,40.77412796020508,-73.84355163574219,40.93511199951172,N,1930
id2077691,2,2016-05-25 18:32:53,5,-73.9986343383789,40.73483657836913,-74.00154113769531,40.746681213378906,N,499
id2488607,1,2016-04-14 11:54:45,1,-73.98118591308595,40.75522994995117,-73.95520782470702,40.76950454711913,N,1060
id3113830,2,2016-06-07 11:09:12,1,-73.95525360107422,40.78874969482422,-73.94894409179686,40.7734489440918,N,913
id1865526,2,2016-02-25 18:23:59,1,-73.98564910888672,40.7415885925293,-73.9915313720703,40.74909973144531,N,440
id0780993,2,2016-05-24 16:51:28,2,-74.01380157470702,40.70253372192383,-73.98560333251955,40.76332473754883,N,1911
id0252531,2,2016-02-22 23:11:33,1,-73.97512054443358,40.75534057617188,-73.96002197265625,40.76449966430664,N,555
id2089507,1,2016-02-13 14:17:54,1,-73.99356079101562,40.751777648925774,-73.98497009277344,40.728912353515625,N,736
id3534666,1,2016-04-22 22:44:33,1,-73.96769714355469,40.80305862426758,-73.95877075195312,40.76840591430664,N,1164
id2021573,2,2016-04-13 19:43:36,1,-73.99093627929686,40.73006057739258,-73.99797058105469,40.75653076171875,N,993
id3945987,1,2016-05-02 15:03:52,2,-73.98792266845702,40.74979019165039,-73.97846984863281,40.76097869873047,N,251
id2530663,2,2016-05-30 14:29:10,1,-73.87082672119139,40.77363586425781,-73.97064971923827,40.7988395690918,N,1445
id1178006,1,2016-04-20 05:49:00,1,-73.95304107666014,40.79150390625,-73.97404479980467,40.791725158691406,N,225
id0404034,2,2016-01-06 20:36:58,1,-73.95648193359375,40.7783088684082,-73.94461059570312,40.77944946289063,N,297
id3240860,1,2016-04-28 21:55:45,1,-74.01683807373048,40.70470428466797,-73.9388198852539,40.8495979309082,N,1426
id2336877,2,2016-02-14 22:03:46,1,-73.9635238647461,40.7617301940918,-73.98577117919923,40.755760192871094,N,567
id2442308,1,2016-01-06 10:41:57,1,-73.97041320800781,40.78850173950195,-73.98103332519531,40.7744369506836,N,345
id0502249,1,2016-03-12 06:50:24,1,-73.96588897705078,40.76459884643555,-73.96160125732422,40.77450942993164,N,237
id0479928,2,2016-05-15 18:49:58,1,-74.0160903930664,40.706241607666016,-74.0003433227539,40.72375106811523,N,777
id1547081,1,2016-06-08 12:23:29,1,-73.98672485351562,40.75040054321289,-73.98220825195312,40.756446838378906,N,325
id0332127,2,2016-04-09 19:06:54,5,-73.9923095703125,40.74604034423828,-73.98876953125,40.75852966308594,N,818
id1603237,1,2016-04-16 09:24:52,1,-74.00243377685547,40.73980331420898,-74.0064697265625,40.74871063232422,N,276
id1125389,2,2016-05-18 12:29:27,4,-73.99120330810547,40.75008010864258,-73.9791488647461,40.7620506286621,N,1299
id0411040,2,2016-05-31 21:52:34,1,-73.97177124023438,40.75516128540039,-73.99697875976562,40.73491287231445,N,685
id0258688,2,2016-06-26 17:09:23,1,-73.78929901123048,40.646820068359375,-73.96782684326173,40.797611236572266,N,3496
id3538209,2,2016-01-08 16:01:51,1,-74.00733184814453,40.74125289916992,-73.99839782714845,40.72007369995117,N,817
id3165331,1,2016-03-06 19:44:16,1,-73.97960662841797,40.78657913208008,-73.9813232421875,40.780097961425774,N,199
id1906911,1,2016-04-21 10:55:30,1,-73.96891021728516,40.76150894165039,-73.86129760742188,40.76765823364258,N,1775
id3778382,2,2016-02-10 13:24:31,1,-73.99416351318358,40.74193954467773,-74.00811004638672,40.72282791137695,N,698
id0664688,2,2016-02-25 10:49:26,2,-74.00595092773438,40.735923767089844,-73.99064636230467,40.74265670776367,N,510
id3817061,2,2016-03-04 12:25:19,1,-73.99054718017578,40.7581787109375,-73.96227264404298,40.76866912841797,N,1362
id0986197,2,2016-01-01 00:13:28,1,-73.97636413574219,40.77549362182617,-73.99606323242188,40.7235221862793,N,1224
id1699936,2,2016-06-18 22:22:22,5,-74.00182342529298,40.7510986328125,-73.97419738769531,40.78885269165039,N,641
id3030636,2,2016-01-12 14:19:10,2,-74.00244903564453,40.732181549072266,-73.9969711303711,40.74736022949219,N,649
id0950749,1,2016-03-31 15:31:50,1,-73.87443542480467,40.77394485473633,-73.96915435791014,40.76824951171875,N,2266
id2380546,1,2016-06-29 11:27:17,1,-73.9845962524414,40.75922393798828,-73.9787368774414,40.78533172607422,N,766
id3934017,1,2016-06-08 14:28:03,1,-74.0086669921875,40.70686721801758,-74.00348663330078,40.75636672973633,N,2941
id3277471,1,2016-03-29 22:24:06,1,-73.97333526611328,40.763816833496094,-73.9856185913086,40.7531852722168,N,401
id2777330,2,2016-02-16 21:28:36,6,-73.99011993408203,40.75686264038085,-73.98271179199219,40.74238586425781,N,573
id0954306,2,2016-06-08 13:49:36,1,-73.98126220703125,40.7701301574707,-73.98397827148438,40.78049087524415,N,314
id2257084,1,2016-05-02 15:22:10,1,-73.95220184326173,40.82425308227539,-73.94391632080078,40.83511734008789,N,353
id0494596,1,2016-02-20 01:15:44,1,-73.99995422363281,40.73459243774415,-73.99618530273438,40.686878204345696,N,1204
id3345904,1,2016-06-10 19:44:34,1,-74.0018081665039,40.75071716308594,-73.99486541748048,40.74494934082031,N,154
id1656512,2,2016-01-01 23:57:05,2,-73.78803253173827,40.642173767089844,-73.95497131347656,40.734901428222656,N,1602
id3771543,2,2016-06-28 21:21:50,1,-73.95636749267578,40.77901840209961,-73.917236328125,40.753868103027344,N,1027
id1979490,1,2016-04-25 10:47:23,1,-73.97721099853516,40.74958038330078,-73.9563217163086,40.78123474121094,N,1029
id3910011,2,2016-05-12 20:31:37,1,-74.00871276855469,40.71833038330078,-73.83080291748048,40.889259338378906,N,3219
id2866809,1,2016-06-09 06:50:20,1,-73.99897766113281,40.73474884033203,-73.99492645263672,40.740177154541016,N,73
id1108372,1,2016-01-09 19:22:46,1,-73.98800659179686,40.73214721679688,-73.98320007324219,40.73796463012695,N,258
id3728165,1,2016-06-15 12:11:40,1,-73.86306762695312,40.77005386352539,-74.00381469726562,40.740333557128906,N,3271
id0681557,1,2016-04-17 02:57:39,3,-73.98540496826173,40.72295379638672,-73.95263671875,40.77673721313477,N,1278
id1068176,1,2016-01-17 16:57:43,1,-74.01402282714845,40.70450210571289,-73.97174835205078,40.75722885131836,N,1085
id0558465,1,2016-02-19 12:11:09,1,-73.9468765258789,40.78409957885742,-73.9391326904297,40.80473327636719,N,954
id1165752,2,2016-06-02 14:11:24,1,-74.0084228515625,40.719741821289055,-73.97469329833984,40.65768051147461,N,999
id3266037,1,2016-01-23 00:38:26,1,-74.0047378540039,40.73040390014648,-73.92339324951173,40.742942810058594,N,3207
id2928820,1,2016-03-08 05:18:44,1,-73.98876190185547,40.748847961425774,-73.97820281982422,40.75223159790039,N,198
id1254446,2,2016-01-21 11:45:49,1,-73.95599365234375,40.76758193969727,-73.96954345703125,40.800201416015625,N,1255
id0861704,2,2016-03-21 02:01:24,1,-74.00690460205078,40.71992111206055,-74.0090560913086,40.74076461791992,N,444
id1114904,2,2016-06-25 17:14:24,5,-73.97235107421875,40.76551818847656,-73.98416137695312,40.74911117553711,N,1772
id3695269,2,2016-02-12 00:50:26,2,-73.99368286132812,40.74168014526367,-73.99610900878906,40.74438095092773,N,55
id2757846,2,2016-05-08 01:00:07,4,-73.98751831054686,40.721839904785156,-73.9935073852539,40.72727966308594,N,422
id0457047,2,2016-05-04 09:28:30,2,-73.98382568359375,40.72953414916992,-73.98723602294923,40.73912048339844,N,581
id2463043,1,2016-01-08 09:31:57,1,-73.99689483642578,40.74234008789063,-73.9754638671875,40.7545280456543,N,688
id1658140,1,2016-05-22 20:56:46,2,-73.98200225830078,40.76880645751953,-73.97333526611328,40.79119110107422,N,470
id3523545,1,2016-05-02 13:19:04,1,-73.96202087402342,40.77369689941406,-73.94573211669923,40.77802276611328,N,574
id0308807,1,2016-06-02 11:45:54,1,-73.99908447265625,40.73408126831055,-73.97792053222656,40.75226211547852,N,2012
id3331692,2,2016-04-20 23:30:50,1,-73.99105072021484,40.7540397644043,-73.96121215820312,40.76640319824219,N,551
id1189113,2,2016-03-03 18:35:38,1,-73.86345672607422,40.7697868347168,-73.95535278320312,40.76477813720703,N,1525
id1380080,1,2016-01-21 13:23:07,1,-73.9881134033203,40.737491607666016,-73.9873046875,40.743751525878906,N,435
id0084620,1,2016-06-29 23:13:18,1,-73.99102783203125,40.72775650024415,-74.00253295898438,40.728946685791016,N,281
id1167316,2,2016-05-16 20:18:59,1,-73.97601318359375,40.76589584350585,-73.99459838867188,40.74866104125977,N,610
id2897052,1,2016-03-03 13:28:23,1,-73.95988464355469,40.7982292175293,-73.94568634033203,40.79364776611328,N,487
id1662036,2,2016-04-08 18:12:04,1,-73.97930145263672,40.68238830566406,-73.97282409667969,40.67419815063477,N,404
id1698110,2,2016-04-08 10:28:54,6,-73.9656982421875,40.75688934326172,-73.99222564697266,40.742691040039055,N,1363
id1423069,2,2016-03-03 14:44:09,1,-73.990478515625,40.74528884887695,-73.98489379882812,40.75764083862305,N,784
id3837976,2,2016-05-07 22:03:22,5,-73.990966796875,40.73358917236328,-73.98572540283203,40.75256729125977,N,779
id1780009,2,2016-01-12 19:36:41,1,-73.870849609375,40.77397155761719,-73.97824096679686,40.76476287841797,N,1458
id2500367,2,2016-01-05 13:00:53,1,-73.99193572998048,40.72920608520508,-73.99394989013672,40.7352409362793,N,318
id0728716,1,2016-06-12 23:04:19,1,-73.99129486083984,40.77041244506836,-74.00614929199219,40.7448616027832,N,524
id0119499,1,2016-03-01 20:55:33,1,-74.01018524169923,40.71877670288085,-73.8464584350586,40.71155548095703,Y,1865
id0174103,1,2016-04-02 09:28:33,1,-73.97990417480467,40.74342727661133,-73.96277618408203,40.75808715820313,N,431
id1847531,2,2016-06-17 13:05:59,3,-74.00249481201173,40.75010299682617,-73.94783020019531,40.835227966308594,N,1299
id0122697,1,2016-04-03 09:13:26,1,-73.986328125,40.75906372070313,-73.970947265625,40.75566101074219,N,453
id2816760,2,2016-05-27 13:06:08,6,-74.00840759277344,40.72156143188477,-73.9939193725586,40.746070861816406,N,969
id1032829,1,2016-03-19 00:15:50,1,-73.9771957397461,40.752605438232415,-73.988037109375,40.748531341552734,N,569
id3155818,2,2016-06-21 21:19:56,6,-73.86959075927734,40.772911071777344,-73.86959075927734,40.772911071777344,N,1383
id3202015,2,2016-04-09 19:33:13,6,-73.96720886230467,40.76916122436523,-73.95858001708984,40.779029846191406,N,176
id1612069,2,2016-05-19 20:51:17,3,-73.79704284667969,40.64476013183594,-73.97345733642578,40.759578704833984,N,2274
id0595726,1,2016-03-12 13:13:11,1,-74.00066375732422,40.75281143188477,-73.99134063720702,40.76552963256836,N,233
id2896286,2,2016-02-02 21:01:23,1,-74.01717376708984,40.705379486083984,-73.9857864379883,40.72684860229492,N,639
id3943509,1,2016-03-02 07:02:46,2,-73.7765884399414,40.64537811279297,-73.98795318603516,40.763984680175774,N,5435
id3099303,1,2016-03-23 20:37:13,3,-74.0015869140625,40.737159729003906,-73.98648834228516,40.73423767089844,N,559
id0852900,1,2016-04-09 02:19:33,1,-73.9997787475586,40.719383239746094,-73.98776245117188,40.73522186279297,N,461
id0616433,1,2016-02-22 19:16:11,1,-73.97966766357422,40.73934555053711,-73.98175048828125,40.73423767089844,N,125
id2005431,1,2016-06-21 02:15:49,1,-73.99565887451173,40.750648498535156,-73.95616149902342,40.80611801147461,N,904
id1300452,1,2016-04-21 23:38:02,1,-73.95834350585938,40.81050491333008,-73.94322967529298,40.82322311401367,N,395
id1542699,2,2016-06-14 14:36:46,1,-73.99650573730467,40.747859954833984,-73.95439910888672,40.71577453613281,N,1746
id1322375,2,2016-06-13 18:11:34,2,-73.97802734375,40.78365707397461,-73.98589324951173,40.77459335327149,N,574
id2934114,2,2016-06-06 10:52:38,1,-73.93663024902342,40.79906845092773,-73.93720245361328,40.80432891845703,N,172
id2328069,1,2016-03-05 14:39:42,1,-73.9909896850586,40.73319625854492,-73.98220825195312,40.71464538574219,N,924
id0058544,2,2016-03-24 15:37:42,4,-73.97895812988281,40.76433181762695,-74.17729949951173,40.69099807739258,N,3261
id1370788,1,2016-02-29 14:14:59,1,-73.96591186523438,40.77366638183594,-73.96627044677734,40.766380310058594,N,351
id0538399,2,2016-04-05 14:07:01,2,-73.97854614257811,40.77743148803711,-73.98052215576173,40.76201248168945,N,692
id2313341,2,2016-02-18 16:13:49,1,-73.95895385742188,40.780723571777344,-73.95299530029298,40.791667938232415,N,409
id2852209,1,2016-04-22 07:34:56,2,-73.94512939453125,40.81357955932617,-73.95119476318358,40.811859130859375,N,311
id0701732,1,2016-02-08 12:15:15,1,-73.95767211914062,40.76974868774415,-73.96115112304686,40.76502227783203,N,157
id3896443,1,2016-01-28 05:32:03,1,-73.9865493774414,40.73408126831055,-73.98540496826173,40.75936508178711,N,450
id1963568,2,2016-01-26 21:56:38,1,-73.9819107055664,40.76472091674805,-73.97730255126955,40.726558685302734,N,1031
id1569528,1,2016-04-06 23:31:47,1,-73.99585723876955,40.75434112548828,-73.9827880859375,40.77830123901367,Y,386
id1545178,2,2016-04-05 16:14:27,1,-73.98690032958984,40.74372100830078,-73.99276733398438,40.71091079711913,N,1625
id0071106,2,2016-04-07 17:35:00,1,-73.9558334350586,40.77656936645508,-73.97228240966798,40.786529541015625,N,499
id1947184,1,2016-05-05 19:11:47,3,-73.98417663574219,40.74420166015625,-73.98837280273438,40.72003555297852,N,1972
id2703118,1,2016-04-16 08:37:03,1,-74.00697326660156,40.73017120361328,-73.99261474609375,40.72542572021485,N,388
id2481921,1,2016-06-18 03:12:35,1,-73.94100189208984,40.72140502929688,-73.9405746459961,40.71487426757813,N,211
id0489923,2,2016-06-26 09:26:09,1,-73.9844207763672,40.76454162597656,-73.97547912597656,40.776679992675774,N,239
id1608979,2,2016-04-18 10:34:41,1,-73.98249816894531,40.76380920410156,-73.97863006591797,40.77737045288085,N,699
id2358025,1,2016-04-10 00:17:22,2,-74.00790405273438,40.70561599731445,-74.00223541259766,40.709022521972656,N,363
id1270881,1,2016-05-19 14:53:07,1,-73.86701202392578,40.77099609375,-73.99420166015625,40.73200988769531,N,2682
id2976403,2,2016-04-23 20:53:40,1,-74.00878143310547,40.72132873535156,-73.9940185546875,40.73287963867188,N,653
id1197523,2,2016-03-11 01:00:54,1,-73.98851013183594,40.71842956542969,-73.9129409790039,40.68566131591797,N,1090
id1251227,2,2016-04-27 12:58:02,5,-73.95909881591797,40.77724075317383,-73.9553985595703,40.78268051147461,N,164
id1028573,1,2016-05-06 12:58:01,1,-73.98841857910156,40.77919387817383,-73.98235321044923,40.776611328125,N,202
id0137903,2,2016-04-15 20:10:07,1,-73.9732437133789,40.75167846679688,-73.95320129394531,40.771392822265625,N,631
id1215633,1,2016-02-09 07:36:35,1,-73.94850158691406,40.80390548706055,-73.98753356933594,40.74159240722656,N,1791
id0066909,2,2016-05-14 19:47:12,1,-73.97530364990234,40.75891876220703,-73.95362091064453,40.7878303527832,N,577
id2165915,1,2016-04-20 13:24:21,1,-73.99918365478516,40.74937438964844,-73.98152160644531,40.738990783691406,N,917
id3597388,2,2016-01-15 11:42:30,1,-74.00634765625,40.73318862915039,-74.00045013427734,40.72636032104492,N,514
id0384183,1,2016-06-27 12:49:36,1,-73.9920883178711,40.7542724609375,-73.9983139038086,40.76087188720703,N,469
id1127975,1,2016-06-19 15:53:57,1,-73.9941177368164,40.75110626220703,-73.9714584350586,40.75468063354492,Y,700
id1087745,1,2016-04-28 19:54:39,2,-73.9749755859375,40.755226135253906,-73.97187042236328,40.76280212402344,N,242
id0833984,2,2016-04-10 14:58:02,5,-73.97811126708984,40.748550415039055,-73.98658752441406,40.73965835571289,N,320
id1866565,1,2016-03-07 18:45:27,1,-73.9822998046875,40.76850891113281,-73.98101806640625,40.77094268798828,N,182
id0997008,1,2016-02-08 16:19:09,1,-74.01023864746094,40.71205520629883,-74.00806427001955,40.72298049926758,N,328
id3433344,2,2016-06-21 11:09:58,1,-73.99414825439453,40.732177734375,-73.99710845947266,40.7470932006836,N,769
id0602834,2,2016-06-12 20:25:26,2,-73.99322509765625,40.76262283325195,-73.97245025634766,40.79362869262695,N,645
id1027469,1,2016-06-09 08:00:48,1,-73.97897338867188,40.7197265625,-73.99040985107422,40.73695755004883,N,679
id0307660,2,2016-02-09 14:39:21,1,-73.95278930664062,40.776668548583984,-73.97905731201173,40.76015853881836,N,1023
id1415814,2,2016-06-02 20:35:52,1,-74.00012969970702,40.72662353515625,-74.00366973876955,40.722332000732415,N,335
id3030446,2,2016-01-31 23:07:29,1,-74.00098419189453,40.72753143310547,-73.97427368164062,40.7369384765625,N,782
id2840593,1,2016-05-25 02:51:11,1,-73.97453308105469,40.762149810791016,-74.00042724609375,40.73399353027344,N,420
id2504292,2,2016-03-20 20:57:01,5,-74.00723266601562,40.71913146972656,-74.00411987304686,40.71697998046875,N,88
id0171532,2,2016-01-20 20:07:39,3,-73.96903991699219,40.75386047363281,-73.98847198486328,40.7275390625,N,437
id0141424,1,2016-02-19 20:05:37,1,-73.9649658203125,40.77776336669922,-73.97902679443358,40.76072692871094,N,540
id3460782,2,2016-03-22 20:23:08,5,-73.94976043701173,40.77106857299805,-73.95101165771484,40.743648529052734,N,1083
id1317283,2,2016-04-13 10:46:20,1,-73.98118591308595,40.76303482055664,-73.97150421142578,40.75101089477539,N,1201
id2869596,2,2016-01-26 21:54:21,1,-73.98438262939453,40.75454711914063,-73.97501373291014,40.74621200561523,N,612
id1193008,2,2016-03-11 14:48:37,1,-73.9903793334961,40.771728515625,-73.98223876953125,40.77259063720703,N,643
id2144466,2,2016-03-23 23:11:07,1,-73.98570251464844,40.75761032104492,-73.98312377929686,40.74599838256836,N,458
id0062351,1,2016-02-27 12:44:28,1,-73.97702026367188,40.74948501586913,-74.00675964355469,40.75373840332031,N,942
id2642698,2,2016-03-18 18:20:58,1,-73.97727966308595,40.764408111572266,-73.98091888427734,40.75040817260742,N,1413
id2917438,2,2016-02-21 15:55:58,1,-73.93963623046875,40.847618103027344,-73.93653106689453,40.8493537902832,N,282
id0310310,1,2016-05-07 13:32:38,4,-73.9887161254883,40.75510025024415,-73.98829650878906,40.756141662597656,N,38
id2640947,2,2016-04-30 23:44:03,5,-73.99417877197266,40.71232223510742,-73.95995330810547,40.71398162841797,N,683
id3771295,2,2016-02-04 06:55:41,2,-73.99225616455078,40.74478149414063,-74.01155853271484,40.71426773071289,N,840
id1148532,2,2016-03-09 13:43:12,1,-74.00459289550781,40.72708511352539,-73.99449157714845,40.7617301940918,N,964
id0480594,2,2016-05-26 19:02:45,1,-73.98998260498048,40.762184143066406,-73.99126434326173,40.7447509765625,N,1242
id0119944,1,2016-04-15 22:11:22,1,-73.96003723144531,40.77036666870117,-73.95304107666014,40.7801513671875,N,489
id0569948,1,2016-06-19 20:12:50,1,-73.99031066894531,40.75150680541992,-73.99000549316406,40.75686645507813,N,167
id1519662,2,2016-04-19 23:51:31,1,-73.78185272216798,40.64469909667969,-73.95860290527342,40.72114944458008,N,1253
id1342226,1,2016-04-09 18:32:44,1,-73.96880340576173,40.76145553588867,-73.98109436035155,40.76585388183594,N,381
id3229246,2,2016-02-15 10:42:14,5,-73.9929428100586,40.73661804199219,-74.00183868408203,40.72577667236328,N,363
id1336616,2,2016-01-15 07:39:46,5,-73.97306823730467,40.75619888305664,-73.98085021972656,40.78094100952149,N,801
id3478262,2,2016-01-21 16:06:20,1,-73.97467041015625,40.787910461425774,-73.9700469970703,40.7942008972168,N,93
id3434735,2,2016-04-29 12:12:41,1,-73.97821044921875,40.78775024414063,-73.98523712158203,40.77437973022461,N,380
id3269418,1,2016-04-18 21:59:17,1,-73.97197723388672,40.75792694091797,-73.97836303710938,40.72954559326172,N,596
id2091298,1,2016-01-05 17:35:19,1,-73.96577453613281,40.76172637939453,-73.9794692993164,40.77121353149415,N,478
id1430237,2,2016-04-14 01:23:47,2,-73.95812225341797,40.710411071777344,-73.96727752685547,40.70759582519531,N,335
id0914080,2,2016-02-26 12:01:47,1,-73.98042297363281,40.76575088500977,-73.98746490478516,40.77064514160156,N,291
id3895681,1,2016-02-14 11:13:43,1,-73.99370574951173,40.74161911010742,-73.9941177368164,40.746036529541016,N,160
id3351663,2,2016-06-07 09:52:48,4,-73.9867172241211,40.729679107666016,-73.966552734375,40.75299835205078,N,1525
id2030334,1,2016-01-02 19:47:53,1,-74.00811767578125,40.74850845336913,-73.95431518554686,40.78310775756836,N,1492
id3423632,2,2016-05-30 19:07:12,1,-73.86312103271484,40.76985931396485,-73.99974822998048,40.68526840209961,N,1719
id2401480,1,2016-03-03 19:11:44,1,-73.95609283447266,40.766845703125,-73.94849395751955,40.77803039550781,N,206
id3377055,2,2016-01-07 08:56:32,1,-73.94105529785155,40.79244995117188,-73.983642578125,40.78094100952149,N,1193
id3345714,2,2016-06-05 22:40:01,6,-73.98643493652342,40.76068878173828,-73.9887161254883,40.749271392822266,N,480
id1569705,1,2016-01-25 15:09:27,1,-74.0086898803711,40.7164306640625,-74.00008392333984,40.76141357421875,N,785
id0174376,2,2016-02-01 12:59:09,5,-73.97261810302734,40.75060653686523,-73.99447631835938,40.75027847290039,N,1592
id2820005,1,2016-05-12 22:46:11,2,-73.97846984863281,40.75210952758789,-74.0030517578125,40.74550247192383,N,917
id3111276,1,2016-03-02 15:13:25,1,-73.95869445800781,40.78339767456055,-73.97631072998048,40.782310485839844,N,580
